file_type,sra_name,guid,fq1,fq2
ebi,SRR593380,,,
ebi,SRR593381,,,
ebi,SRR593382,,,
ebi,SRR593383,,,
ebi,SRR593384,,,
ebi,SRR593385,,,
ebi,SRR593386,,,
ebi,SRR593387,,,
ebi,SRR593388,,,
ebi,SRR593389,,,
ebi,SRR593390,,,
ebi,SRR593391,,,
ebi,SRR593392,,,
ebi,SRR593393,,,
ebi,SRR593394,,,
ebi,SRR593395,,,
ebi,SRR593396,,,
ebi,SRR593397,,,
ebi,SRR593398,,,
ebi,SRR593399,,,
ebi,SRR593400,,,
ebi,SRR593401,,,
ebi,SRR593402,,,
ebi,SRR593403,,,
ebi,SRR593404,,,
ebi,SRR593405,,,
ebi,SRR593406,,,
ebi,SRR593407,,,
ebi,SRR593408,,,
ebi,SRR593409,,,
ebi,SRR593410,,,
ebi,SRR593411,,,
ebi,SRR593412,,,
ebi,SRR593450,,,
ebi,SRR593451,,,
ebi,SRR593452,,,
ebi,SRR776454,,,
ebi,SRR776456,,,
ebi,SRR776457,,,
ebi,SRR776459,,,
ebi,SRR776462,,,
ebi,SRR776465,,,
ebi,SRR776467,,,
ebi,SRR776469,,,
ebi,SRR776470,,,
ebi,SRR776472,,,
ebi,SRR776473,,,
ebi,SRR776475,,,
ebi,SRR776476,,,
ebi,SRR776477,,,
ebi,SRR776479,,,
ebi,SRR776480,,,
ebi,SRR776481,,,
ebi,SRR776482,,,
ebi,SRR776485,,,
ebi,ERR247041,,,
ebi,ERR247042,,,
ebi,ERR247043,,,
ebi,ERR247044,,,
ebi,ERR247045,,,
ebi,ERR247046,,,
ebi,ERR247047,,,
ebi,ERR247048,,,
ebi,ERR247049,,,
ebi,ERR247050,,,
ebi,ERR247051,,,
ebi,ERR247052,,,
ebi,ERR247053,,,
ebi,ERR247054,,,
ebi,ERR247055,,,
ebi,ERR247056,,,
ebi,ERR247057,,,
ebi,ERR247058,,,
ebi,ERR247059,,,
ebi,ERR247060,,,
ebi,ERR247061,,,
ebi,ERR247062,,,
ebi,ERR247063,,,
ebi,ERR247064,,,
ebi,ERR247065,,,
ebi,ERR247066,,,
ebi,ERR247067,,,
ebi,ERR247068,,,
ebi,ERR247069,,,
ebi,ERR247070,,,
ebi,ERR247071,,,
ebi,ERR247072,,,
ebi,ERR247073,,,
ebi,ERR247074,,,
ebi,ERR247075,,,
ebi,ERR247076,,,
ebi,ERR247077,,,
ebi,ERR247078,,,
ebi,ERR247079,,,
ebi,ERR247080,,,
ebi,ERR247081,,,
ebi,ERR247082,,,
ebi,ERR247083,,,
ebi,ERR247084,,,
ebi,ERR247085,,,
ebi,ERR247086,,,
ebi,ERR247087,,,
ebi,ERR247088,,,
ebi,ERR247089,,,
ebi,ERR247090,,,
ebi,ERR247091,,,
ebi,ERR247092,,,
ebi,ERR247093,,,
ebi,ERR247094,,,
ebi,ERR247095,,,
ebi,ERR247096,,,
ebi,ERR247097,,,
ebi,ERR247098,,,
ebi,ERR247099,,,
ebi,ERR247100,,,
ebi,ERR247101,,,
ebi,ERR247102,,,
ebi,ERR247103,,,
ebi,ERR247104,,,
ebi,ERR247105,,,
ebi,ERR247106,,,
ebi,ERR247107,,,
ebi,ERR247108,,,
ebi,ERR247109,,,
ebi,ERR247110,,,
ebi,ERR247111,,,
ebi,ERR247112,,,
ebi,ERR247113,,,
ebi,ERR247114,,,
ebi,ERR247115,,,
ebi,ERR247116,,,
ebi,ERR247117,,,
ebi,ERR247118,,,
ebi,ERR247119,,,
ebi,ERR247120,,,
ebi,ERR247121,,,
ebi,ERR247122,,,
ebi,ERR247123,,,
ebi,ERR247124,,,
ebi,ERR247125,,,
ebi,ERR247126,,,
ebi,ERR247127,,,
ebi,ERR247128,,,
ebi,ERR247129,,,
ebi,ERR247130,,,
ebi,ERR247131,,,
ebi,ERR247132,,,
ebi,ERR247133,,,
ebi,ERR247134,,,
ebi,ERR247135,,,
ebi,ERR247136,,,
ebi,ERR171286,,,
ebi,ERR171287,,,
ebi,ERR171288,,,
ebi,ERR171289,,,
ebi,ERR171290,,,
ebi,ERR171291,,,
ebi,ERR171292,,,
ebi,ERR171293,,,
ebi,ERR171294,,,
ebi,ERR171295,,,
ebi,ERR171296,,,
ebi,ERR171297,,,
ebi,ERR171298,,,
ebi,ERR171299,,,
ebi,ERR171300,,,
ebi,ERR171301,,,
ebi,ERR171302,,,
ebi,ERR171303,,,
ebi,ERR171304,,,
ebi,ERR171305,,,
ebi,ERR171306,,,
ebi,ERR171307,,,
ebi,ERR171308,,,
ebi,ERR171309,,,
ebi,ERR171310,,,
ebi,ERR171311,,,
ebi,ERR171312,,,
ebi,ERR171313,,,
ebi,ERR171314,,,
ebi,ERR171315,,,
ebi,ERR171316,,,
ebi,ERR171317,,,
ebi,ERR171318,,,
ebi,ERR171319,,,
ebi,ERR171320,,,
ebi,ERR171321,,,
ebi,ERR171322,,,
ebi,ERR171323,,,
ebi,ERR171324,,,
ebi,ERR171325,,,
ebi,ERR171326,,,
ebi,ERR171327,,,
ebi,ERR171328,,,
ebi,ERR171329,,,
ebi,ERR171330,,,
ebi,ERR171331,,,
