file_type,file_name
ebi,SRR6008945
ebi,SRR6008946
ebi,SRR6008947
ebi,SRR6008948
ebi,SRR6008949
ebi,SRR6008950
ebi,SRR6008951
ebi,SRR6008952
ebi,SRR6008953
ebi,SRR6008954
ebi,SRR6008955
ebi,SRR6008956
ebi,SRR6008957
ebi,SRR6008958
ebi,SRR6008959
ebi,SRR6008960
ebi,SRR6008961
ebi,SRR6008962
ebi,SRR6008963
ebi,SRR6008964
ebi,SRR6008965
ebi,SRR6008966
ebi,SRR6008967
ebi,SRR6008968
ebi,SRR6008969
ebi,SRR6008970
ebi,SRR6008971
ebi,SRR6008972
ebi,SRR6008973
ebi,SRR6008974
ebi,SRR6008975
ebi,SRR6008976
ebi,SRR6008977
ebi,SRR6008978
ebi,SRR6008979
ebi,SRR6008980
ebi,SRR6008981
ebi,SRR6008982
ebi,SRR6008983
ebi,SRR6008984
ebi,SRR6008985
ebi,SRR6008986
ebi,SRR6008987
ebi,SRR6008988
ebi,SRR6008989
ebi,SRR6008990
ebi,SRR6008991
ebi,SRR6008992
ebi,SRR6008993
ebi,SRR6008994
ebi,SRR6008995
ebi,SRR6008996
ebi,SRR6008997
ebi,SRR6008998
ebi,SRR6008999
ebi,SRR6009000
ebi,SRR6009001
ebi,SRR6009002
ebi,SRR6009003
ebi,SRR6009004
ebi,SRR6009005
ebi,SRR6009006
ebi,SRR6009007
ebi,SRR6009008
ebi,SRR6009009
ebi,SRR6009010
ebi,SRR6009011
ebi,SRR6009012
ebi,SRR6009013
ebi,SRR6009014
ebi,SRR6009015
ebi,SRR6009016
ebi,SRR6009017
ebi,SRR6009018
ebi,SRR6009019
ebi,SRR6009020
ebi,SRR6009021
ebi,SRR6009022
ebi,SRR6009023
ebi,SRR6009024
ebi,SRR6009025
ebi,SRR6009026
ebi,SRR6009027
ebi,SRR6009028
ebi,SRR6009029
ebi,SRR6009030
ebi,SRR6009031
ebi,SRR6009032
ebi,SRR6009033
ebi,SRR6009034
ebi,SRR6009035
ebi,SRR6009036
ebi,SRR6009037
ebi,SRR6009038
ebi,SRR6009039
ebi,SRR6009040
ebi,SRR6009041
ebi,SRR6009042
ebi,SRR6009043
ebi,SRR6009044
ebi,SRR6009045
ebi,SRR6009046
ebi,SRR6009047
ebi,SRR6009048
ebi,SRR6009049
ebi,SRR6009050
ebi,SRR6009051
ebi,SRR6009052
ebi,SRR6009053
ebi,SRR6009054
ebi,SRR6009055
ebi,SRR6009056
ebi,SRR6009057
ebi,SRR6009058
ebi,SRR6009059
ebi,SRR6009060
ebi,SRR6009061
ebi,SRR6009062
ebi,SRR6009063
ebi,SRR6009064
ebi,SRR6009065
ebi,SRR6009066
ebi,SRR6009067
ebi,SRR6009068
ebi,SRR6009069
ebi,SRR6009070
ebi,SRR6009071
ebi,SRR6009072
ebi,SRR6009073
ebi,SRR6009074
ebi,SRR6009075
ebi,SRR6009076
ebi,SRR6009077
ebi,SRR6009078
ebi,SRR6009079
ebi,SRR6009080
ebi,SRR6009081
ebi,SRR6009082
ebi,SRR6009083
ebi,SRR6009084
ebi,SRR6009085
ebi,SRR6009086
ebi,SRR6009087
ebi,SRR6009088
ebi,SRR6009089
ebi,SRR6009090
ebi,SRR6009091
ebi,SRR6009092
ebi,SRR6009093
ebi,SRR6009094
ebi,SRR6009095
ebi,SRR6009096
ebi,SRR6009097
ebi,SRR6009098
ebi,SRR6009099
ebi,SRR6009100
ebi,SRR6009101
ebi,SRR6009102
ebi,SRR6009103
ebi,SRR6009104
ebi,SRR6009105
ebi,SRR6009106
ebi,SRR6009107
ebi,SRR6009108
ebi,SRR6009109
ebi,SRR6009110
ebi,SRR6009111
ebi,SRR6009112
ebi,SRR6009113
ebi,SRR6009114
ebi,SRR6009115
ebi,SRR6009116
ebi,SRR6009117
ebi,SRR6009118
ebi,SRR6009119
ebi,SRR6009120
ebi,SRR6009121
ebi,SRR6009122
ebi,SRR6009123
ebi,SRR6009124
ebi,SRR6009125
ebi,SRR6009126
ebi,SRR6009127
ebi,SRR6009128
ebi,SRR6009129
ebi,SRR6009130
ebi,SRR6009131
ebi,SRR6009132
ebi,SRR6009133
ebi,SRR6009134
ebi,SRR6009135
ebi,SRR6009136
ebi,SRR6009137
ebi,SRR6009138
ebi,SRR6009139
ebi,SRR6009140
ebi,SRR6009141
ebi,SRR6009142
ebi,SRR6009143
ebi,SRR6009144
ebi,SRR6009145
ebi,SRR6009146
ebi,SRR6009147
ebi,SRR6009148
ebi,SRR6009149
ebi,SRR6009150
ebi,SRR6009151
ebi,SRR6009152
ebi,SRR6009153
ebi,SRR6009154
ebi,SRR6009155
ebi,SRR6009156
ebi,SRR6009157
ebi,SRR6009158
ebi,SRR6009159
ebi,SRR6009160
ebi,SRR6009161
ebi,SRR6009162
ebi,SRR6009163
ebi,SRR6009164
ebi,SRR6009165
ebi,SRR6009166
ebi,SRR6009167
ebi,SRR6009168
ebi,SRR6009169
ebi,SRR6009170
ebi,SRR6009171
ebi,SRR6009172
ebi,SRR6009173
ebi,SRR6009174
ebi,SRR6009175
ebi,SRR6009176
ebi,SRR6009177
ebi,SRR6009178
ebi,SRR6009179
ebi,SRR6009180
ebi,SRR6009181
ebi,SRR6009182
ebi,SRR6009183
ebi,SRR6009184
ebi,SRR6009185
ebi,SRR6009186
ebi,SRR6009187
ebi,SRR6009188
ebi,SRR6009189
ebi,SRR6009190
ebi,SRR6009191
ebi,SRR6009192
ebi,SRR6009193
ebi,SRR6009194
ebi,SRR6009195
ebi,SRR6009196
ebi,SRR6009197
ebi,SRR6009198
ebi,SRR6009199
ebi,SRR6009200
ebi,SRR6009201
ebi,SRR6009202
ebi,SRR6009203
ebi,SRR6009204
ebi,SRR6009205
ebi,SRR6009206
ebi,SRR6009207
ebi,SRR6009208
ebi,SRR6009209
ebi,SRR6009210
ebi,SRR6009211
ebi,SRR6009212
ebi,SRR6009213
ebi,SRR6009214
ebi,SRR6009215
ebi,SRR6009216
ebi,SRR6009217
ebi,SRR6009218
ebi,SRR6009219
ebi,SRR6009220
ebi,SRR6009221
ebi,SRR6009222
ebi,SRR6009223
ebi,SRR6009224
ebi,SRR6009225
ebi,SRR6009226
ebi,SRR6009227
ebi,SRR6009228
ebi,SRR6009229
ebi,SRR6009230
ebi,SRR6009231
ebi,SRR6009232
ebi,SRR6009233
ebi,SRR6009234
ebi,SRR6009235
ebi,SRR6009236
ebi,SRR6009237
ebi,SRR6009238
ebi,SRR6009239
ebi,SRR6009240
ebi,SRR6009241
ebi,SRR6009242
ebi,SRR6009243
ebi,SRR6009244
ebi,SRR6009245
ebi,SRR6009246
ebi,SRR6009247
ebi,SRR6009248
ebi,SRR6009249
ebi,SRR6009250
ebi,SRR6009251
ebi,SRR6009252
ebi,SRR6009253
ebi,SRR6009254
ebi,SRR6009255
ebi,SRR6009256
ebi,SRR6009257
ebi,SRR6009258
ebi,SRR6009259
ebi,SRR6009260
ebi,SRR6009261
ebi,SRR6009262
ebi,SRR6009263
ebi,SRR6009264
ebi,SRR6009265
ebi,SRR6009266
ebi,SRR6009267
ebi,SRR6009268
ebi,SRR6009269
ebi,SRR6009270
ebi,SRR6009271
ebi,SRR6009272
ebi,SRR6009273
ebi,SRR6009274
ebi,SRR6009275
ebi,SRR6009276
ebi,SRR6009277
ebi,SRR6009278
ebi,SRR6009279
ebi,SRR6009280
ebi,SRR6009281
ebi,SRR6009282
ebi,SRR6009283
ebi,SRR6009284
ebi,SRR6009285
ebi,SRR6009286
ebi,SRR6009287
ebi,SRR6009288
ebi,SRR6009289
ebi,SRR6009290
ebi,SRR6009291
ebi,SRR6009292
ebi,SRR6009293
ebi,SRR6009294
ebi,SRR6009295
ebi,SRR6009296
ebi,SRR6009297
ebi,SRR6009298
ebi,SRR6009299
ebi,SRR6009300
ebi,SRR6009301
ebi,SRR6009302
ebi,SRR6009303
ebi,SRR6009304
ebi,SRR6009305
ebi,SRR6009306
ebi,SRR6009307
ebi,SRR6009308
ebi,SRR6009309
ebi,SRR6009310
ebi,SRR6009311
ebi,SRR6009312
ebi,SRR6009313
ebi,SRR6009314
ebi,SRR6009315
